Date,Time,User,Activity Description,Reason for change,Anomaly
2024-08-27,08:00:00,user123,User logged into the system,Not Available,0
2024-08-27,08:10:00,user123,Loaded recipe for batch #001,Not Available,0
2024-08-27,08:16:00,user123,Initiated pre-operation equipment check,Not Available,0
2024-08-27,08:26:00,user123,Verified calibration of scales,Not Available,0
2024-08-27,08:31:00,user123,Started coating process for batch #001,Not Available,0
2024-08-27,08:39:00,user123,Adjusted spray rate from 13.3 to 11.5,Not Available,0
2024-08-27,08:45:00,user123,Adjusted inlet air temperature from 154.9 to 153.5,Not Available,0
2024-08-27,08:55:00,user123,Adjusted drum speed from 13.2 to 13.4,Not Available,0
2024-08-27,09:00:00,user123,Adjusted atomization air pressure from 2.0 to 3.2,Not Available,0
2024-08-27,09:09:00,user123,Adjusted spray rate from 12.6 to 14.5,Not Available,0
2024-08-27,09:18:00,user123,Adjusted exhaust air temperature from 45.0 to 45.8,Not Available,0
2024-08-27,09:26:00,user123,Stopped coating process for batch #001,Not Available,0
2024-08-27,09:31:00,user123,Logged out of the system,Not Available,0
2024-08-28,08:00:00,user789,User logged into the system,Not Available,0
2024-08-28,08:06:00,user789,Loaded recipe for batch #002,Not Available,0
2024-08-28,08:16:00,user789,Initiated pre-operation equipment check,Not Available,0
2024-08-28,08:25:00,user789,Verified calibration of scales,Not Available,0
2024-08-28,08:33:00,user789,Started coating process for batch #002,Not Available,0
2024-08-28,08:38:00,user789,Adjusted inlet air temperature from 146.0 to 144.4,Not Available,0
2024-08-28,08:48:00,user789,Adjusted inlet air temperature from 154.8 to 154.2,Not Available,0
2024-08-28,08:53:00,user789,Adjusted atomization air pressure from 1.9 to -0.0,Not Available,0
2024-08-28,09:00:00,user789,Adjusted atomization air pressure from 1.9 to 0.8,Not Available,0
2024-08-28,09:09:00,user789,Stopped coating process for batch #002,Not Available,0
2024-08-28,09:14:00,user789,Logged out of the system,Not Available,0
2024-08-29,08:00:00,user456,User logged into the system,Not Available,0
2024-08-29,08:10:00,user456,Loaded recipe for batch #003,Not Available,0
